City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
200,sambava,-14.2667,50.1667,78.75,83,71,6.69,MG,1680114958
201,beitbridge,-22.2167,30.0,78.71,37,5,9.37,ZW,1680114958
202,provideniya,64.3833,-173.3,20.21,91,100,15.82,RU,1680114958
203,mar del plata,-38.0023,-57.5575,66.94,53,40,14.97,AR,1680114958
204,avera,33.194,-82.5271,63.37,34,100,6.11,US,1680114958
205,usakos,-22.0,15.6,71.64,35,5,7.25,NA,1680114958
206,coquimbo,-29.9533,-71.3436,67.73,72,40,14.97,CL,1680114755
207,tura,25.5198,90.2201,67.95,75,10,5.23,IN,1680114958
208,longyearbyen,78.2186,15.6401,8.44,78,20,4.61,SJ,1680114958
209,patacamaya,-17.2333,-67.9167,54.41,57,99,3.29,BO,1680114959
210,nyrob,60.733,56.7202,16.59,93,55,3.09,RU,1680114795
211,lethem,3.3803,-59.7968,93.25,52,40,13.8,GY,1680114959
212,lebu,-37.6167,-73.65,57.34,58,16,17.07,CL,1680114959
213,buarcos,40.166,-8.8768,66.67,85,39,10.69,PT,1680114959
214,ambilobe,-13.2,49.05,74.57,95,83,3.27,MG,1680114959
215,nikel,69.4128,30.222,24.98,93,100,21.63,RU,1680114960
216,isiolo,0.3546,37.5822,73.13,67,100,4.29,KE,1680114960
217,rio tercero,-32.173,-64.1141,73.45,51,79,14.7,AR,1680114960
218,itajuba,-22.4256,-45.4528,82.35,90,100,1.3,BR,1680114925
219,nikolskoye,59.7035,30.7861,28.29,90,100,7.72,RU,1680114960
220,oksfjord,70.2396,22.3479,28.58,92,100,6.29,NO,1680114960
221,fernley,39.608,-119.2518,43.66,33,62,3.0,US,1680114961
222,levski,43.3667,25.1333,39.81,43,13,9.44,BG,1680114961
223,ust-nera,64.5667,143.2,9.03,99,99,4.43,RU,1680114961
224,ahipara,-35.1667,173.1667,51.46,74,100,5.44,NZ,1680114961
225,faanui,-16.4833,-151.75,82.58,73,81,8.68,PF,1680114961
226,jumla,29.2747,82.1838,44.1,80,90,2.06,NP,1680114962
227,porto novo,6.4965,2.6036,85.82,78,7,9.4,BJ,1680114907
228,suez,29.9737,32.5263,59.5,50,0,20.51,EG,1680114962
229,igarka,67.4667,86.5833,-16.01,99,22,8.68,RU,1680114962
230,sur,22.5667,59.5289,76.05,45,0,3.62,OM,1680114962
231,sisimiut,66.9395,-53.6735,14.52,72,9,5.77,GL,1680114665
232,seydi,39.4816,62.9137,69.82,32,8,8.01,TM,1680114962
233,luba,3.4568,8.5547,81.43,80,100,8.55,GQ,1680114963
234,touros,-5.1989,-35.4608,83.26,67,6,10.33,BR,1680114963
235,ostrovnoy,68.0531,39.5131,25.72,88,100,24.0,RU,1680114963
236,sao paulo de olivenca,-3.3783,-68.8725,85.3,69,66,3.0,BR,1680114963
237,ndjole,-0.1783,10.7649,73.24,95,100,0.83,GA,1680114963
238,verkhnyaya inta,65.9811,60.3094,7.07,98,84,7.67,RU,1680114963
239,ishigaki,24.3448,124.1572,69.93,100,75,3.44,JP,1680114964
240,klaksvik,62.2266,-6.589,40.12,93,100,39.53,FO,1680114964
241,cayenne,4.9333,-52.3333,82.44,74,100,12.66,GF,1680114964
242,sobolevo,54.4299,31.8996,29.44,95,100,14.83,RU,1680114964
243,namibe,-15.1961,12.1522,75.51,77,99,8.97,AO,1680114964
244,cairns,-16.9167,145.7667,77.07,100,18,0.0,AU,1680114964
245,nome,64.5011,-165.4064,22.15,93,100,23.02,US,1680114965
246,sao filipe,14.8961,-24.4956,78.35,58,100,7.87,CV,1680114965
247,san cristobal,7.7669,-72.225,75.38,53,99,4.61,VE,1680114965
248,bandarbeyla,9.4942,50.8122,81.12,73,65,6.78,SO,1680114965
249,port hedland,-20.3167,118.5667,84.25,84,100,12.66,AU,1680114965
250,fukue,32.6881,128.8419,57.67,62,100,9.42,JP,1680114965
251,lompoc,34.6391,-120.4579,55.81,74,40,10.0,US,1680114689
252,amahai,-3.3333,128.9167,76.96,84,100,3.33,ID,1680114965
253,thompson,55.7435,-97.8558,21.36,38,100,12.66,CA,1680114965
254,ornskoldsvik,63.2909,18.7153,18.55,67,100,3.44,SE,1680114966
255,manicore,-5.8092,-61.3003,87.75,62,20,4.61,BR,1680114966
256,karratha,-20.7377,116.8463,82.27,77,100,16.08,AU,1680114966
257,kailua,21.4022,-157.7394,78.78,87,100,3.44,US,1680114966
258,kipushi,-11.7667,27.2333,62.13,97,99,3.18,CD,1680114967
259,bjornevatn,69.6672,29.9847,28.02,93,100,16.11,NO,1680114969
260,gol,60.7014,8.9457,29.57,97,100,2.66,NO,1680114969
261,hereford,52.0568,-2.7148,54.73,93,100,1.01,GB,1680114969
262,dingle,10.9995,122.6711,75.56,89,99,6.85,PH,1680114969
263,bambous virieux,-20.3428,57.7575,80.85,78,40,8.05,MU,1680114969
264,west wendover,40.7391,-114.0733,54.61,28,100,25.32,US,1680114970
265,lichuan,30.3,108.85,40.66,96,20,2.24,CN,1680114970
266,keti bandar,24.1447,67.4497,77.49,75,56,9.93,PK,1680114970
267,kigorobya,1.6162,31.3089,68.56,80,10,3.0,UG,1680114970
268,carnarvon,-24.8667,113.6333,75.31,76,99,6.76,AU,1680114971
269,shar,49.5886,81.0453,38.14,75,100,6.98,KZ,1680114971
270,ancud,-41.8697,-73.8203,53.71,59,74,10.25,CL,1680114765
271,berlevag,70.8578,29.0864,30.15,93,100,14.97,NO,1680114971
272,san policarpo,12.1791,125.5072,79.29,82,100,5.97,PH,1680114971
273,touho,-20.7833,165.2333,77.31,81,98,9.95,NC,1680114971
274,evensk,61.95,159.2333,-3.87,92,36,6.6,RU,1680114972
275,roald,62.5833,6.1333,35.74,51,0,19.57,NO,1680114972
276,olafsvik,64.8945,-23.7142,33.85,92,100,17.09,IS,1680114972
277,pangody,65.85,74.4859,3.29,95,94,15.12,RU,1680114973
278,laguna,38.421,-121.4238,51.06,81,100,21.85,US,1680114680
279,kavieng,-2.5744,150.7967,81.27,73,77,2.26,PG,1680114973
280,upernavik,72.7868,-56.1549,-11.33,82,15,7.56,GL,1680114973
281,linhares,-19.3911,-40.0722,82.62,64,87,7.2,BR,1680114699
282,dwarka,22.2394,68.9678,76.24,82,5,9.91,IN,1680114973
283,luwuk,-0.9516,122.7875,76.39,86,100,2.95,ID,1680114974
284,hanna,51.6334,-111.9018,25.86,80,26,1.99,CA,1680114974
285,pekan,3.4836,103.3996,77.11,88,8,8.7,MY,1680114974
286,zhigansk,66.7697,123.3711,-16.76,100,21,3.56,RU,1680114974
287,barra patuca,15.8,-84.2833,83.84,50,0,11.45,HN,1680114975
288,mahebourg,-20.4081,57.7,80.89,78,40,8.05,MU,1680114975
289,tekeli,44.83,78.8239,43.81,52,73,9.08,KZ,1680114975
290,victoria,22.2855,114.1577,70.32,89,100,5.99,HK,1680114743
291,pangnirtung,66.1451,-65.7125,5.0,66,20,5.75,CA,1680114975
292,brae,60.3964,-1.353,42.85,92,100,29.26,GB,1680114975
293,vasai,19.47,72.8,78.89,73,0,5.28,IN,1680114976
294,burnie,-41.0667,145.9167,58.44,73,100,13.78,AU,1680114976
295,kholodnyy,62.7167,147.95,-6.99,100,100,1.7,RU,1680114976
296,joura,26.3411,77.8115,79.61,22,23,5.46,IN,1680114977
297,pemangkat,1.1667,108.9667,77.63,88,100,5.61,ID,1680114977
298,husavik,66.0449,-17.3389,35.55,80,100,17.02,IS,1680114977
299,biak,-0.9131,122.8766,75.36,84,100,2.75,ID,1680114977
300,kutum,14.2,24.6667,77.0,14,18,11.36,SD,1680114977
301,tall kayf,37.0833,41.0667,56.59,54,40,18.41,TR,1680114977
302,ilulissat,69.2167,-51.1,12.22,48,0,4.61,GL,1680114977
303,santos dumont,-21.4567,-43.5525,79.77,89,80,3.06,BR,1680114978
304,kulhudhuffushi,6.6221,73.07,83.57,74,80,9.13,MV,1680114978
305,saint-pierre,-21.3393,55.4781,80.28,74,75,11.5,RE,1680114978
306,porto belo,-27.1578,-48.5531,86.79,78,10,11.79,BR,1680114978
307,beira,-19.8436,34.8389,72.3,79,47,6.64,MZ,1680114978
308,abu samrah,35.3029,37.1841,49.55,60,1,24.09,SY,1680114978
309,cilegon,-6.0174,106.0538,79.11,84,100,7.38,ID,1680114978
310,isabela,6.7085,121.9711,75.25,84,100,3.53,PH,1680114978
311,lensk,60.7253,114.9278,23.14,95,100,6.89,RU,1680114979
312,ignacio zaragoza,28.3833,-107.2167,71.89,8,28,14.65,MX,1680114979
313,cabedelo,-6.9811,-34.8339,79.47,73,25,10.45,BR,1680114979
314,komatipoort,-25.4332,31.9548,77.05,74,99,14.41,ZA,1680114979
315,nikolayevka,53.1257,47.2041,43.29,90,100,11.95,RU,1680114979
316,alice springs,-23.7,133.8833,69.35,56,100,11.5,AU,1680114889
317,bonnyville,54.2668,-110.735,31.8,93,100,5.19,CA,1680114979
318,bac lieu,9.285,105.7244,79.25,79,10,7.96,VN,1680114979
319,high level,58.5169,-117.136,30.31,59,40,10.36,CA,1680114979
320,salamanca,40.8333,-6.0,67.78,61,0,8.79,ES,1680114979
321,kamenka,51.3223,42.7678,46.56,76,100,7.07,RU,1680114979
322,dalhousie,32.5333,75.9833,49.77,50,100,7.14,IN,1680114979
323,ambon,-3.6954,128.1814,78.24,15,40,1.14,ID,1680114980
324,palmer,42.1584,-72.3287,55.45,31,20,5.75,US,1680114980
325,hirara,24.8,125.2833,71.46,100,75,9.22,JP,1680114980
326,rio gallegos,-51.6226,-69.2181,46.45,42,75,13.8,AR,1680114980
327,cedar city,37.6775,-113.0619,52.77,28,0,21.85,US,1680114684
328,morondava,-20.2833,44.2833,77.92,72,33,3.36,MG,1680114980
329,sterling,39.0062,-77.4286,61.23,35,40,8.05,US,1680114847
330,pacifica,37.6138,-122.4869,52.2,85,40,13.0,US,1680114980
331,karpathos,35.507,27.2132,51.76,46,20,25.32,GR,1680114980
332,amarante do maranhao,-5.5667,-46.7422,80.31,81,58,3.18,BR,1680114981
333,sulingen,52.6833,8.8,52.02,89,100,6.58,DE,1680114981
334,mozarlandia,-14.7447,-50.5706,87.66,53,17,5.79,BR,1680114981
335,batagay-alyta,67.8006,130.4114,-14.22,91,100,3.42,RU,1680114981
336,asfi,32.2994,-9.2372,66.45,65,5,13.82,MA,1680114981
337,ericeira,38.9627,-9.4156,67.19,76,96,8.7,PT,1680114981
338,wenling,28.3669,121.36,51.78,94,100,9.44,CN,1680114982
339,djibo,14.1022,-1.6306,91.35,8,100,8.41,BF,1680114982
340,juneau,58.3019,-134.4197,38.1,86,75,8.05,US,1680114982
341,letlhakane,-21.4167,25.5833,75.76,47,57,4.88,BW,1680114982
342,quatre cocos,-20.2078,57.7625,80.71,82,100,14.67,MU,1680114982
343,kenitra,34.261,-6.5802,74.16,74,12,6.24,MA,1680114982
344,hobyo,5.3505,48.5268,82.15,72,9,9.91,SO,1680114982
345,zhanaozen,43.3,52.8,57.85,63,0,13.06,KZ,1680114983
346,port blair,11.6667,92.75,82.44,78,40,2.3,IN,1680114983
347,ekibastuz,51.6667,75.3667,38.37,82,100,18.45,KZ,1680114983
348,seoul,37.5683,126.9778,40.6,68,0,3.44,KR,1680114736
349,murray bridge,-35.1167,139.2667,57.13,66,100,5.17,AU,1680114983
350,beringovskiy,63.05,179.3167,19.4,94,100,9.73,RU,1680114983
351,haines junction,60.7522,-137.5108,19.35,63,100,2.3,CA,1680114983
352,ribeira grande,38.5167,-28.7,63.0,82,20,24.0,PT,1680114983
353,pokhara,28.2333,83.9833,65.14,38,99,6.8,NP,1680114983
354,saldanha,-33.0117,17.9442,60.85,77,100,21.14,ZA,1680114984
355,erzin,36.9559,36.2,51.48,73,95,1.92,TR,1680114984
356,malumfashi,11.7853,7.6218,82.44,10,55,6.38,NG,1680114984
357,luderitz,-26.6481,15.1594,63.34,63,0,24.79,NA,1680114984
358,kabare,-2.4683,28.8242,61.29,92,100,0.49,CD,1680114984
359,gimli,50.6336,-96.9907,17.62,45,69,12.66,CA,1680114984
360,lubao,14.9167,120.55,80.31,81,100,1.92,PH,1680114984
361,viedma,-40.8135,-62.9967,59.52,18,0,16.35,AR,1680114985
362,san quintin,30.4833,-115.95,62.73,50,0,12.91,MX,1680114985
363,estelle,29.8458,-90.1067,64.4,52,100,12.66,US,1680114985
364,carlsbad,33.1581,-117.3506,57.34,90,100,12.66,US,1680114222
365,guerrero negro,27.9769,-114.0611,64.96,46,0,15.99,MX,1680114985
